key,value,year,date
greensboro,0,1,2006
greensboro,0.8,2,2006
greensboro,29.4,3,2006
greensboro,49.2,4,2006
greensboro,54.3,5,2006
greensboro,0,6,2006
greensboro,0,7,2006
greensboro,0,8,2006
greensboro,0,9,2006
greensboro,0,0,2007
greensboro,0,1,2007
greensboro,0.5,2,2007
greensboro,29.5,3,2007
greensboro,49.9,4,2007
greensboro,0,5,2007
greensboro,0,6,2007
greensboro,0,7,2007
greensboro,0,8,2007
greensboro,0,9,2007
greensboro,0,0,2008
greensboro,0.3,1,2008
greensboro,1.2,2,2008
greensboro,30.6,3,2008
greensboro,0,4,2008
greensboro,0,5,2008
greensboro,0,6,2008
greensboro,0,7,2008
greensboro,0,8,2008
greensboro,0,9,2008
greensboro,0,0,2009
greensboro,0,1,2009
greensboro,0.8,2,2009
greensboro,0,3,2009
greensboro,0,4,2009
greensboro,0,5,2009
greensboro,0,6,2009
greensboro,0,7,2009
greensboro,0,8,2009
greensboro,0,9,2009
greensboro,0,0,2010
greensboro,0.1,1,2010
greensboro,0,2,2010
greensboro,0,3,2010
greensboro,0,4,2010
greensboro,0,5,2010
greensboro,0,6,2010
greensboro,0,7,2010
greensboro,0,8,2010
greensboro,0,9,2010
greensboro,0,0,2011
greensboro,0,1,2011
greensboro,0,2,2011
greensboro,0,3,2011
greensboro,0,4,2011
greensboro,0,5,2011
greensboro,0,6,2011
greensboro,0,7,2011
greensboro,0,8,2011
greensboro,0,9,2011
pembroke,0,0,1996
pembroke,0,1,1996
pembroke,0,2,1996
pembroke,17.8,3,1996
pembroke,30.5,4,1996
pembroke,34.3,5,1996
pembroke,36.1,6,1996
pembroke,37.2,7,1996
pembroke,38.3,8,1996
pembroke,38.8,9,1996
pembroke,0,0,1997
pembroke,0,1,1997
pembroke,0.8,2,1997
pembroke,20.4,3,1997
pembroke,33.5,4,1997
pembroke,38.1,5,1997
pembroke,40.4,6,1997
pembroke,40.8,7,1997
pembroke,41.7,8,1997
pembroke,42.5,9,1997
pembroke,0,0,1998
pembroke,0,1,1998
pembroke,1.3,2,1998
pembroke,21.6,3,1998
pembroke,37.3,4,1998
pembroke,41.6,5,1998
pembroke,43.5,6,1998
pembroke,44.2,7,1998
pembroke,44.8,8,1998
pembroke,45.5,9,1998
pembroke,0,0,1999
pembroke,0,1,1999
pembroke,0.8,2,1999
pembroke,18.7,3,1999
pembroke,31.8,4,1999
pembroke,34.9,5,1999
pembroke,36.8,6,1999
pembroke,37.7,7,1999
pembroke,38.3,8,1999
pembroke,38.9,9,1999
pembroke,0,0,2000
pembroke,0,1,2000
pembroke,1.2,2,2000
pembroke,20.1,3,2000
pembroke,34,4,2000
pembroke,37.6,5,2000
pembroke,39.5,6,2000
pembroke,40,7,2000
pembroke,41.3,8,2000
pembroke,41.8,9,2000
pembroke,0,0,2001
pembroke,0,1,2001
pembroke,0.7,2,2001
pembroke,14.7,3,2001
pembroke,27.5,4,2001
pembroke,34,5,2001
pembroke,35.8,6,2001
pembroke,36.8,7,2001
pembroke,37.4,8,2001
pembroke,38.4,9,2001
pembroke,0,0,2002
pembroke,0,1,2002
pembroke,0.1,2,2002
pembroke,14.2,3,2002
pembroke,28.7,4,2002
pembroke,33.4,5,2002
pembroke,35.4,6,2002
pembroke,36.3,7,2002
pembroke,36.6,8,2002
pembroke,36.8,9,2002
pembroke,0,0,2003
pembroke,0,1,2003
pembroke,0.6,2,2003
pembroke,16.4,3,2003
pembroke,30,4,2003
pembroke,34.1,5,2003
pembroke,35.9,6,2003
pembroke,36.5,7,2003
pembroke,37,8,2003
pembroke,0,9,2003
pembroke,0,0,2004
pembroke,0,1,2004
pembroke,0.4,2,2004
pembroke,15.2,3,2004
pembroke,31.8,4,2004
pembroke,37.5,5,2004
pembroke,39.3,6,2004
pembroke,40.5,7,2004
pembroke,0,8,2004
pembroke,0,9,2004
pembroke,0,0,2005
pembroke,0,1,2005
pembroke,0.4,2,2005
pembroke,14.8,3,2005
pembroke,30.1,4,2005
pembroke,33.5,5,2005
pembroke,35.8,6,2005
pembroke,0,7,2005
pembroke,0,8,2005
pembroke,0,9,2005
pembroke,0,0,2006
pembroke,0,1,2006
pembroke,0.6,2,2006
pembroke,15.9,3,2006
pembroke,28.5,4,2006
pembroke,34.2,5,2006
pembroke,0,6,2006
pembroke,0,7,2006
pembroke,0,8,2006
pembroke,0,9,2006
pembroke,0,0,2007
pembroke,0,1,2007
pembroke,0.1,2,2007
pembroke,15.4,3,2007
pembroke,28,4,2007
pembroke,0,5,2007
pembroke,0,6,2007
pembroke,0,7,2007
pembroke,0,8,2007
pembroke,0,9,2007
pembroke,0,0,2008
pembroke,0,1,2008
pembroke,0.5,2,2008
pembroke,14.9,3,2008
pembroke,0,4,2008
pembroke,0,5,2008
pembroke,0,6,2008
pembroke,0,7,2008
pembroke,0,8,2008
pembroke,0,9,2008
pembroke,0,0,2009
pembroke,0,1,2009
pembroke,0.6,2,2009
pembroke,0,3,2009
pembroke,0,4,2009
pembroke,0,5,2009
pembroke,0,6,2009
pembroke,0,7,2009
pembroke,0,8,2009
pembroke,0,9,2009
pembroke,0,0,2010
pembroke,0,1,2010
pembroke,0,2,2010
pembroke,0,3,2010
pembroke,0,4,2010
pembroke,0,5,2010
pembroke,0,6,2010
pembroke,0,7,2010
pembroke,0,8,2010
pembroke,0,9,2010
pembroke,0,0,2011
pembroke,0,1,2011
pembroke,0,2,2011
pembroke,0,3,2011
pembroke,0,4,2011
pembroke,0,5,2011
pembroke,0,6,2011
pembroke,0,7,2011
pembroke,0,8,2011
pembroke,0,9,2011
wilmington,0,0,1996
wilmington,0,1,1996
wilmington,0.8,2,1996
wilmington,37.2,3,1996
wilmington,58.7,4,1996
wilmington,61.7,5,1996
wilmington,62.7,6,1996
wilmington,63.3,7,1996
wilmington,63.7,8,1996
wilmington,63.8,9,1996
wilmington,0,0,1997
wilmington,0,1,1997
wilmington,0.7,2,1997
wilmington,35.3,3,1997
wilmington,56.1,4,1997
wilmington,59.2,5,1997
wilmington,60.2,6,1997
wilmington,60.6,7,1997
wilmington,60.7,8,1997
wilmington,61.2,9,1997
wilmington,0,0,1998
wilmington,0,1,1998
wilmington,0.7,2,1998
wilmington,37.3,3,1998
wilmington,58.3,4,1998
wilmington,61.2,5,1998
wilmington,62.3,6,1998
wilmington,63.1,7,1998
wilmington,63.5,8,1998
wilmington,63.9,9,1998
wilmington,0,0,1999
wilmington,0,1,1999
wilmington,0.8,2,1999
wilmington,40.7,3,1999
wilmington,60.7,4,1999
wilmington,63.5,5,1999
wilmington,64.5,6,1999
wilmington,65.1,7,1999
wilmington,65.3,8,1999
wilmington,65.6,9,1999
wilmington,0,0,2000
wilmington,0.1,1,2000
wilmington,1.7,2,2000
wilmington,42.8,3,2000
wilmington,61.4,4,2000
wilmington,65.1,5,2000
wilmington,66.4,6,2000
wilmington,66.7,7,2000
wilmington,67,8,2000
wilmington,67.1,9,2000
wilmington,0,0,2001
wilmington,0,1,2001
wilmington,1,2,2001
wilmington,41.5,3,2001
wilmington,61.5,4,2001
wilmington,64.8,5,2001
wilmington,66.4,6,2001
wilmington,67.1,7,2001
wilmington,67.6,8,2001
wilmington,67.9,9,2001
wilmington,0,0,2002
wilmington,0,1,2002
wilmington,1,2,2002
wilmington,44.9,3,2002
wilmington,63.6,4,2002
wilmington,67.1,5,2002
wilmington,67.7,6,2002
wilmington,68.6,7,2002
wilmington,69.2,8,2002
wilmington,69.6,9,2002
wilmington,0,0,2003
wilmington,0.1,1,2003
wilmington,1.7,2,2003
wilmington,44.3,3,2003
wilmington,65.2,4,2003
wilmington,68.5,5,2003
wilmington,69.5,6,2003
wilmington,69.9,7,2003
wilmington,70.1,8,2003
wilmington,0,9,2003
wilmington,0,0,2004
wilmington,0.1,1,2004
wilmington,1,2,2004
wilmington,44.5,3,2004
wilmington,63.1,4,2004
wilmington,65.9,5,2004
wilmington,67.3,6,2004
wilmington,67.7,7,2004
wilmington,0,8,2004
wilmington,0,9,2004
wilmington,0,0,2005
wilmington,0,1,2005
wilmington,1.3,2,2005
